days_past_due,outstanding_amount,number_of_contacts,previous_late_payments,promised_payment_amount,broken_promises,months_on_book,last_payment_amount,further_delinquency
131,635.6334483897745,3,3,1265.486022961592,1,33,1207.1210458803457,0
2,3135.953110385009,2,0,1395.131575174767,0,52,321.7105883560239,0
5,7991.7978610937425,2,1,1602.8499080151091,2,6,612.3313097527066,0
142,3355.736298476241,3,0,1665.3810179863767,1,2,820.2332146288519,1
103,100.0,4,3,1453.702218039716,0,47,969.3917336773496,0
27,2293.211336947255,3,0,576.906085613181,4,48,424.7869515667777,1
137,4141.195839184204,1,2,1936.6937246536015,2,9,0.0,1
15,5500.281559668284,2,3,454.2312244793191,2,32,407.65229937445366,0
90,4787.560070148442,6,3,1439.161009148071,1,52,606.4950568713142,1
42,3157.3464741710773,5,1,1149.9108932811482,0,19,1207.1210458803457,0
124,7817.940316545408,2,0,1593.1006077124143,0,25,83.48824485386939,1
178,4612.817190314274,3,0,1605.3304772427075,1,30,483.5904880329104,1
63,5628.204085993771,2,0,570.4274104350167,4,17,296.4068831435995,1
96,3317.132067834704,2,2,1103.6146956015566,2,13,774.5577707261756,0
52,9526.820792720637,3,2,810.2812270035729,1,25,314.77621439622646,1
96,3825.106684379418,3,3,69.96033579548407,0,51,40.30007182900556,1
132,5224.078599779782,4,0,659.3790345875398,2,14,0.0,1
151,8104.998326380641,5,3,745.6942992254885,0,18,577.6288151149766,1
143,5840.126783179878,1,2,1631.568085579387,1,16,523.5333206493594,1
171,5765.269089312444,2,2,1022.0406079543976,2,57,656.2925715158162,1
29,100.0,2,2,1712.820241257095,1,8,540.4292158501486,0
36,7041.905005081654,0,4,1490.9770780625154,0,43,591.9493225610692,0
13,5166.76082064047,3,2,1169.6553711067904,2,21,638.7751810780492,0
160,6624.6953095176505,5,4,795.5490414135575,1,15,250.10016729122785,1
71,5549.639145106509,7,0,834.5956757209049,1,1,499.9941420586496,1
86,3322.527328631383,1,3,704.8026005117333,1,15,652.5249275497325,1
28,7682.921499648784,3,2,1679.4322842336474,1,17,213.96950844643675,0
66,5594.379833839747,3,1,555.6085540258787,0,38,0.0,0
170,1131.8405268712704,4,1,912.629225942338,0,26,604.2475382595178,1
45,8925.551469038488,4,1,911.1970086486108,2,14,444.8062061278063,0
62,708.5613068375842,3,1,2129.416757299458,0,48,901.6383470305892,0
134,7702.787702751627,3,3,1569.4118712183513,0,33,697.4592333168068,0
28,9460.79531579062,3,2,908.0964770826196,0,42,404.7879469798178,0
28,1681.1136921102116,0,1,601.0380618404574,0,51,94.7235952266584,1
108,4631.714639786335,8,3,572.3515457695098,0,15,903.8870222719812,1
44,4352.15526159747,3,1,1626.8421183716423,0,24,734.5552570603325,0
84,4487.086534457334,1,4,772.3703444163407,3,21,886.3606263507533,1
30,10490.71506569919,4,2,847.8383282178229,0,18,789.1562775519683,0
75,1715.8433812486433,4,2,1351.5587095366163,0,7,134.3495604704217,0
128,4080.2988653630055,3,3,971.7692295206716,1,57,638.4006968978081,0
92,9509.967496465251,5,1,680.1915019289104,1,18,785.9444186282778,0
129,4031.1535149825554,4,0,1084.1527719066485,1,18,533.2080055854474,0
121,2192.6608524005114,4,3,1436.56825658932,1,1,402.89359665500456,1
27,5789.044045309244,2,4,561.8186017604389,0,23,360.4167003140718,0
121,7416.921625121045,0,3,673.7550490987421,0,7,270.71492014647623,1
116,3821.477089555108,3,2,1674.3090681880203,0,20,468.0171741662135,1
3,6663.1051724226345,3,1,1031.758451110041,0,32,124.31796085792048,0
103,870.1547177763096,2,5,626.9446265204326,1,5,0.0,1
155,1036.9187497442167,3,0,563.345570673207,0,44,334.93529223820383,0
137,3679.7411592421176,4,2,1603.6837081784142,0,22,324.45584213892766,1
62,6770.052259975184,3,4,678.3779613571182,1,32,1171.3924773177514,1
165,7284.493942955258,4,2,1544.1169232120706,1,42,909.2795105636806,1
51,1453.9518576258106,3,3,1226.3485876329614,0,7,438.8109795126338,0
172,7173.262114197738,1,1,749.2459460853042,1,7,490.9119616784461,1
152,5499.52112130434,1,6,807.9416355302627,1,51,815.5244067145073,1
59,2362.3859166460466,5,3,724.8653109425604,1,21,495.8211739933381,1
118,997.4349439310045,1,3,1037.9460185484654,1,44,443.4774208480171,1
160,5689.469464712976,3,2,1586.0763525082011,4,9,424.0515996507221,1
96,8868.689672496337,5,4,1178.2167980607371,1,44,456.6240113828268,1
113,5106.567292333872,2,1,467.05262334128463,1,54,164.91098322294312,1
62,2195.237451781291,4,3,1649.6659824467783,0,58,844.1103123565765,0
52,100.0,3,1,2089.343403146002,2,59,421.1155261352659,0
12,9588.472540665824,3,1,495.9654104494381,0,46,877.5724837271565,0
39,8125.551830959286,4,2,138.89960344548024,1,44,824.0571175951629,0
130,5906.230546314804,5,1,1017.5157021311588,1,59,641.0827010870913,1
131,9433.981901796382,3,3,1010.7217591310982,1,47,870.0913186919113,1
113,5671.757299260783,3,0,1353.7199210497822,1,15,437.9045120979941,1
101,3406.8891481469504,2,0,1063.7680717765895,2,49,333.2196907349304,0
113,6665.39673515063,3,1,723.8086912668875,1,26,305.6900874191774,0
81,2510.822971196625,3,2,573.4906814580665,0,8,521.4958897524292,1
113,2013.0565464404576,1,2,989.0703722104824,2,2,709.1992873874693,1
2,7314.821328821806,5,2,1496.9924536667784,0,9,615.0603712293059,0
130,7567.276302692247,6,6,733.3718100814824,1,36,1075.2045048139466,0
54,1178.785158537772,1,0,1277.3197454114998,0,18,651.8625530720157,0
87,1289.606952674431,2,3,724.5133439788988,2,24,334.83954763278155,1
129,3664.850919100965,7,2,656.0726818026038,1,3,548.4030787424766,1
147,2866.085500461012,4,3,1460.672185828055,2,57,770.3076237350991,1
126,6429.466289496107,2,1,1607.121849012739,1,45,358.0275111841197,1
130,5144.149513296769,6,3,1100.9585168284298,1,21,310.13701002163947,1
53,8494.718772909815,4,3,506.9441828332836,1,52,844.3988396828971,0
172,5951.77317570195,4,2,681.8942629795224,1,11,732.5430718286041,1
160,3066.2695109849665,2,4,269.231312662364,1,1,511.255972843225,0
160,100.0,3,1,1248.7590022323188,0,12,345.12989196412195,0
68,5538.367952831532,4,1,898.4932267609217,0,44,413.5928417759651,1
123,100.0,5,2,998.6587811451454,3,49,589.1560610974087,1
145,3029.1342892374914,4,0,1336.867977916865,0,6,719.739514593245,1
38,2834.8196657099734,3,1,566.6678927370028,2,7,811.062203392984,0
24,3474.718655349706,3,2,1343.6118918355407,1,4,552.4495275002384,0
69,1051.8972202194268,1,2,1621.8353706131525,0,46,138.13615543103288,0
116,2824.170175670151,5,4,363.2960758795323,0,8,934.1854287790306,0
98,8437.7137353554,1,2,1318.0264568526395,0,23,854.7336438561808,1
139,8429.445462724798,2,3,1134.1252361000802,1,50,792.6923908272524,1
144,9597.499326397912,0,4,1319.382333254263,0,53,910.4759868319314,0
97,5030.439577231323,5,2,1237.1595128581102,1,40,746.624597786381,0
124,5813.657386694739,1,3,721.2679160840828,1,51,534.8172190129094,1
70,8481.834253080975,5,3,1394.0881185847063,0,56,170.9615487327547,1
93,588.0171291886481,4,1,733.8619089992203,0,14,266.7061701569918,0
3,7416.885520111104,2,3,1284.2447762880984,2,55,384.1222950464111,0
148,8907.034170186966,1,3,1713.2616220239468,0,37,733.7628968933491,1
164,2333.1190218871284,3,4,430.9997363527944,1,33,976.5484027767388,1
147,9147.917436810978,4,2,638.7418566062138,1,46,915.3450999634092,1
90,11173.14824090475,4,3,597.8653251426776,4,5,363.9430789995645,1
147,7333.540011532486,2,2,1145.5468591041445,0,56,461.71708751014415,1
148,6783.513105980371,3,3,1352.8694262948668,2,6,94.49867905128208,1
96,1640.6718526122245,5,0,874.5846161957331,1,46,1000.40617668522,0
52,8207.611787122773,5,3,655.7576368941739,0,45,63.44144030119958,0
161,1923.228042088661,1,0,1657.4427280709351,0,45,447.74410627544097,0
168,6109.22240792109,2,1,1456.244558857892,0,23,915.5695559249164,0
128,6413.285321993074,5,0,162.85739386635692,0,15,617.8772547419976,0
39,100.0,3,3,989.9730488427414,0,47,669.8831073579479,0
82,6217.410150607253,1,2,696.5697203031195,1,34,574.3317105687928,1
104,11909.365849706153,3,2,1123.330427100875,0,53,0.0,1
129,100.0,4,4,1331.3208484924187,1,53,633.8645039194181,0
11,4838.324017960596,3,3,1378.2862879781585,1,57,685.1772297173356,0
178,100.0,2,3,858.9379235846834,3,3,331.1415402789653,1
151,2317.5756835844686,2,3,931.8185301835722,0,30,724.0058468555312,1
159,100.0,2,1,925.1588369231504,0,16,361.0940938585159,1
42,5478.626980991653,2,3,581.0864964567559,0,14,912.4891037440254,0
99,7380.814409778784,4,5,869.7452340547549,4,21,487.39726027939287,1
7,6229.215898307276,3,2,351.1440183146435,0,2,669.8924568149848,0
144,2209.452591627284,4,1,957.074277495124,2,49,589.1378709463145,1
90,3171.815730212217,1,3,666.3770432278259,0,20,716.922053004406,0
112,5816.8180582569175,4,3,1144.2145004507918,2,18,532.6899970687124,1
60,2303.2280295832384,1,1,1325.752769867776,2,41,715.2460028310957,0
113,1013.6146744530748,4,1,135.12008680369524,0,52,712.5900018583171,0
2,4282.618819694117,1,1,1028.1592235757034,1,19,133.24264001129842,0
129,2165.875372182777,2,1,1756.992470500228,1,17,696.1048254962232,1
48,6234.673751760928,7,0,835.2042592396489,1,14,363.9635730941545,0
140,8896.092200950752,2,1,214.78201705820004,1,13,452.88888249684135,1
37,11909.365849706153,4,1,579.9298829885005,1,27,424.9791439935332,1
160,6014.20073641895,3,1,1155.392224156362,0,6,378.4399146004861,1
9,6937.916488458612,2,2,1287.6260522990551,0,35,918.1331900738024,0
99,3202.0479701176173,2,2,686.188872523682,0,35,87.93706647419867,0
147,3387.8696773353654,2,4,1098.5380310566466,0,18,0.0,1
48,8852.168739622819,3,1,1486.1520897138096,0,34,332.1925726651616,0
131,4171.016599559666,3,3,1001.0841955213732,2,36,443.08113632507326,0
148,5218.842135817347,1,1,1268.73359843222,2,22,257.47999898034874,1
152,8668.927010385003,4,5,1180.438110302754,0,44,215.17556056317443,1
54,4194.118484340231,4,2,1066.653119376946,2,4,707.9888351256983,1
120,9501.261313064446,4,3,186.66374198723315,0,50,533.9146200957105,0
161,6719.088008154216,3,1,1108.1113160950665,0,41,1207.1210458803457,1
152,6366.194512934645,1,1,0.0,2,29,263.3484905546627,1
116,3055.4325587979683,7,1,1042.1104383919535,2,56,615.0727832749778,1
75,6527.377985150315,2,1,517.1348582464183,1,32,666.7813638842572,1
113,3712.862156401261,3,2,892.2064732549035,3,13,413.4468649684285,1
164,6408.226568587114,2,1,1118.9459383144158,0,24,178.28505145566243,1
166,4694.5248027187135,3,3,2055.864876058142,0,16,471.5819778852089,1
104,7900.428712952358,2,2,692.4821946160458,0,1,666.0856024431789,0
84,4904.686481609734,5,4,862.1392389382299,0,26,300.55185629774866,1
112,11113.572650710092,1,3,1266.6233555615752,2,16,427.17714205718,1
99,4173.359064812822,3,3,327.111950027071,1,45,461.8966797438216,1
153,3396.275713929469,2,1,1513.521638916855,0,51,262.35295539458946,0
93,6038.341360403761,3,2,1106.5576646371794,1,48,887.5741808938996,1
146,8233.613167482421,1,4,1033.5236421628765,0,43,548.2174047755439,0
128,8210.295454481822,2,2,1463.6189692751152,0,28,439.8221315651227,1
110,5500.344333207492,2,0,580.9266366680401,3,20,744.4261119170977,1
82,6017.267482414355,3,1,665.3906987857979,1,32,545.896105584131,0
54,6021.61417211727,3,5,932.7340636626536,2,7,860.8411996929988,0
163,1766.3815591156244,2,2,480.6244480594141,0,6,236.88097657018687,1
169,8072.220325298291,3,4,1408.2325221883525,1,19,680.4578813908229,1
161,1226.4307036379978,2,2,651.1496531460117,0,8,492.76415281529177,1
68,1772.0039726456243,1,0,1078.348039968717,1,17,902.9971815552478,0
33,5165.081253564395,4,2,785.2023556451488,1,19,789.8829265528009,0
142,4040.4207975633753,3,1,835.8968821857297,0,46,587.0365229103872,1
21,7388.472198126348,1,1,531.315341920912,0,49,589.8170297634713,0
48,6342.058018010543,6,2,673.1640465697857,1,19,475.18469211186175,1
148,5414.604161212077,0,1,698.8115562329381,0,9,839.8942684332485,0
128,1623.3980120838492,3,1,808.2249406177516,1,34,339.71348327719943,0
136,5079.680314590206,3,1,719.6290005570269,0,34,481.9653671675726,1
135,4842.465592635751,4,5,585.3726178726762,1,34,690.083915188548,0
145,5666.56021070651,3,3,185.7980058322329,1,2,277.6682617974446,1
128,3709.885983717086,5,3,781.2889285346362,0,17,195.79472588717036,1
33,6568.452613980629,6,1,1247.568330826458,2,59,772.4346126049952,0
176,3960.316886879399,3,3,433.2519161150941,3,49,69.2865834795017,0
115,6287.340395387337,5,2,1621.0281385841977,3,10,779.2051327660762,1
119,7388.142722257253,2,2,174.32834021196584,2,40,399.1086931783599,1
22,3396.2135040428784,5,2,249.1735061518596,0,4,136.66010969102211,0
158,2683.5245894555446,3,2,125.64321194206116,2,23,909.6649784209708,1
38,6429.098469408017,2,2,1509.1988074575852,2,23,0.0,0
109,1036.7009578567113,3,1,821.1398255872812,0,9,835.367514660355,0
51,8334.994264676187,1,1,1712.8140881090587,1,46,1207.1210458803457,0
8,5032.887851350924,0,1,182.8977163564357,0,8,1011.053295997694,0
27,4655.724794304904,1,5,2163.3968214888555,1,46,407.5421502386416,1
27,6638.047755053678,5,4,568.8116033323445,0,39,961.0051030668373,0
21,6451.86356126629,1,2,876.7333327030578,0,18,841.5152160035127,0
30,5019.554224936722,5,2,901.6300599583228,2,29,252.482487271278,1
97,7635.849231805742,2,2,1128.230330951288,1,4,207.51626455971007,0
28,2982.835083949243,0,1,1024.0336975385876,1,17,574.8931100506883,0
111,7137.069479880876,5,3,1021.5781847719948,2,38,663.3377080150468,1
61,1764.1295849927742,1,1,1554.4881773241812,1,6,812.3143651792276,0
48,6531.946973195401,1,2,758.1808773174631,1,23,798.84660092191,0
147,4016.380110599129,3,1,743.7676227944239,1,8,566.7113701709397,0
4,1066.741812892427,8,1,1721.2058493607142,1,56,349.6354409260181,0
35,5769.928451433118,0,3,1066.5181471416925,1,40,773.3324134695579,0
49,4896.720520547813,7,2,706.4594229479823,1,51,838.2901867786181,1
17,371.8234715536146,5,1,1348.0892278487731,2,12,542.1860587201329,0
172,100.0,2,1,910.8555655641248,3,17,443.2253325953313,1
158,4543.208499747515,2,0,1922.0440516604167,0,45,355.8636161387765,1
46,9854.67788210548,1,0,524.5140995386764,1,15,55.79549637605356,1
117,5963.045024617732,2,0,1154.5553416373782,1,4,282.59962861721954,0
6,2995.090289856668,5,2,489.923955686956,0,44,933.8141364283248,0
99,8245.60854706357,2,1,911.1149478587932,2,17,512.3129128724498,1
124,7721.6708536236765,3,2,637.893041587331,0,27,321.9576273341842,1
37,8814.737233968157,4,5,1002.1047608350792,0,47,492.0514118375062,0
24,7051.69329302812,2,2,803.4116627070788,1,47,390.0077739218849,0
93,7657.706969333623,0,3,588.1216790758839,1,20,631.9563892888661,1
46,7193.325593037692,3,1,490.3425684872911,1,35,393.86123090579,0
95,3567.485157750717,4,2,1014.761285959057,1,29,484.8261289775626,1
99,100.0,1,3,817.7155467634561,2,13,0.0,1
116,3436.593812620845,4,5,1314.5254871547695,1,24,204.98775533346335,1
160,8314.810931004062,3,0,460.14838200827273,0,18,592.8486341219802,0
161,3856.967491716285,2,2,1126.4050689377057,0,35,455.2225986796404,1
67,4563.622846677932,5,3,1139.72347406199,1,27,674.9861053220402,0
128,1502.6452005606652,5,5,1840.5497922416744,0,44,575.0933120039876,1
18,3346.731283522331,1,3,1093.570264537664,1,46,921.140891051344,0
25,4972.732499649722,0,2,1217.0122137794183,1,14,0.0,1
54,6477.68653357626,3,1,235.1198951281596,1,15,481.9166842371547,1
58,3624.017098473,2,4,1083.5488753361078,1,25,692.1737649121784,0
67,3414.387723146903,6,2,414.96625597425896,2,9,524.0982293122473,0
104,7526.526695446604,4,1,250.38566030719687,2,29,422.1618311590405,1
174,5975.799579314671,3,1,895.4374371401425,0,38,368.35698068719626,1
24,6346.0173955764485,2,3,1178.0434749550748,0,19,306.9358492663807,0
114,9584.961758205112,2,1,1316.7833023975302,0,13,367.9806293387332,1
32,3484.776834768928,6,2,1798.5940094847474,1,11,224.6033202440764,1
175,4852.942488555094,1,0,730.1608706848497,1,11,420.11342843082735,1
86,6653.479323269439,2,2,617.8314182286701,2,16,249.9213077094936,0
151,2385.477915025959,5,2,579.6922357805329,1,53,829.1116144044795,1
127,5687.149214756357,0,1,716.9459701508339,0,16,241.78934186107648,1
155,5066.589491777301,4,3,659.5982523571843,1,27,971.9109772845686,0
130,11909.365849706153,2,3,1518.5369024076208,1,44,786.2243484402893,1
17,5299.60850499522,6,0,1850.076792490408,2,6,853.6362372050576,1
104,8470.819296692996,0,4,1121.2382789984458,1,11,490.6119568058757,1
161,7489.829641540527,2,3,1125.5939571078468,1,10,159.49858429971,1
137,1530.3151905770374,2,3,908.2519248318338,1,35,0.0,1
43,353.5284861179007,3,0,1045.3458388164747,1,49,751.5756514728823,0
176,5741.043816098882,3,3,1506.2937543526325,0,26,471.0318431658242,1
39,8772.003986440865,6,4,518.6312024987893,3,24,365.61507630938513,0
170,5863.744458689524,3,5,710.0910882697663,2,55,696.9445021837544,1
26,5236.555412051524,0,4,1052.100769741037,0,51,1207.1210458803457,0
99,4147.74004115225,3,0,352.9089394304209,1,29,511.5847526311286,1
50,1028.1162602107877,2,4,1039.8199790878086,0,10,832.1872404416627,0
153,2118.437847232963,3,2,346.79589529815667,0,48,453.07934949878654,1
152,133.0589334809065,3,2,1106.0625264606551,1,23,789.718117372684,1
13,1690.8602026602457,3,2,970.4923517274568,0,28,530.2466840611534,0
60,3421.975287711949,3,1,1014.2626307384006,3,43,772.0170669759761,0
135,7328.048064550958,2,0,1079.2151609851494,0,36,686.3846279884964,1
57,3664.7982176132073,2,0,1401.657944984409,1,39,307.380970397918,1
36,5766.877356649153,1,2,775.2912149336188,0,9,84.64857245188574,1
173,5405.687633530045,3,2,957.5689543595256,2,18,0.0,1
20,6497.146506448921,3,2,680.5277341417698,2,17,624.3892021797548,0
65,1895.555205448224,0,0,1028.592962079662,2,26,905.187427863197,0
8,8177.581145370645,3,3,1007.9472760782731,1,29,676.6114166368515,0
144,778.4690451392216,1,3,483.051563324598,1,22,914.4171985060686,0
142,3656.560392840178,3,1,1375.6785010738445,1,4,1001.3035965371472,1
115,4937.283776670265,2,6,1206.16311449742,3,44,653.1586005236157,1
143,7280.434544449242,4,1,1462.05951024471,1,44,0.0,1
92,9137.92800665226,2,3,1205.9824393554788,0,47,149.90305712051563,1
98,7304.094560385171,7,6,1383.2722561655503,0,17,296.6815310026052,1
66,9247.749072367576,6,6,592.6141191318284,0,19,84.4040855748417,1
32,2512.472211478086,6,2,838.1168013466163,0,35,4.683654388465982,0
86,8571.111440213628,2,1,505.1539523613814,1,25,488.74183656316205,1
51,8055.970189739903,2,0,1319.6693496560945,0,5,150.3366846597803,1
153,100.0,2,2,916.33906630407,2,3,261.5195031496827,1
63,4338.607268317171,0,3,824.580340445523,2,45,582.4978214322932,0
125,6806.112270145348,3,1,1108.054921422287,2,20,238.92866449911023,1
