months_to_maturity,total_relationship_value,number_of_products,satisfaction_score,number_of_complaints,months_since_last_interaction,age,tenure_months,monthly_average_balance,desertion_flag
9,50220.88044270701,1,5.919490080589286,0,1,40,22,12961.79889856085,0
5,5643.591890036034,2,7.033225852606317,0,0,21,29,7650.143029529799,0
1,35370.99737135111,1,9.687045622670986,1,3,40,36,13458.252650686689,0
19,6912.384052156463,2,3.41692715496055,2,2,18,34,13773.442859739584,0
10,70817.69699573774,2,10.0,3,1,62,26,13666.377669935748,0
12,71497.68019278956,6,6.999405627135867,1,0,52,27,2849.399003360736,0
15,1000.0,2,9.355996893625008,0,2,45,32,9829.379026794652,0
22,90016.57236501719,2,6.967906504097726,0,6,21,31,5682.805631699356,0
9,120476.40845107357,1,5.368647486691405,1,1,20,24,10116.173369126813,0
20,51380.19160209023,4,10.0,0,1,23,37,14170.727395113685,0
17,30766.572193260658,3,6.613367645556309,1,0,36,23,8730.070267283987,0
17,120476.40845107357,3,5.5500280266032895,0,4,61,27,11562.62343473166,0
20,10430.945050924682,3,7.769294325531116,0,1,50,28,11300.47676650606,0
12,50603.19400607296,4,8.192144288274882,0,2,48,23,10828.863610259694,0
7,55388.668178957705,2,7.669675349567749,0,0,36,42,1012.624768557258,0
2,90354.42861357244,2,7.832566507911594,0,0,37,27,9547.178498112222,0
3,60792.16925380365,2,7.761417332611843,0,4,48,21,14338.969942168822,0
17,35040.98312634646,4,9.466270193629626,1,3,40,27,9179.052841110317,0
5,21464.46888836132,5,7.11320552283635,0,1,43,24,9870.01630952816,0
17,39745.345392615935,4,5.703665770081872,0,2,18,30,13181.213810982264,0
17,19792.17917164568,1,8.44487365278479,1,1,66,25,16471.403444154606,1
17,51434.75959354049,4,2.2874808575098986,0,1,20,34,13386.338963333768,0
2,33074.11460418541,4,8.204029586826886,0,3,43,32,15384.559467104904,0
2,5178.866201307479,1,10.0,2,3,39,36,7930.551339535991,0
22,87654.37365124712,4,8.52423203459701,1,3,50,36,10367.103402415394,0
23,35069.82429712882,5,3.822523055238897,0,1,50,31,10592.92082829528,0
5,11955.89585074062,2,9.88486692515285,0,1,59,21,15068.018902331838,0
1,44952.22596537376,4,5.895437005626986,2,5,30,43,6314.636219782281,0
1,52051.14697902976,3,7.398709968849763,0,2,57,38,8659.698126573714,0
19,1000.0,2,9.581044473742402,1,1,41,22,15333.608919379829,0
2,59949.430013772886,6,5.764275642219387,0,4,50,31,11773.744673255036,0
21,18585.272939292063,2,7.277897203368544,1,2,56,35,7290.498077121872,0
12,101330.86427572364,1,4.391537501595408,1,1,46,22,19410.94303951821,0
6,65718.81536230205,3,6.627533383790756,0,1,18,36,5019.876218483887,0
23,38003.00029672051,2,4.666431976726054,2,0,43,18,10044.95099660961,0
4,27644.966890479485,5,7.9666305028048034,0,2,52,34,16009.178948332965,0
23,46850.968773091285,2,4.099402695537184,0,2,41,33,18230.902909397828,0
11,68383.72224749869,2,6.820643727547716,0,2,58,43,13779.097933057912,0
17,49235.17614244401,3,5.865820775220955,1,3,44,37,10650.374180956747,0
6,43485.2357858943,2,5.5685109395230645,1,2,57,34,14668.095992269784,0
5,51751.10872453687,4,9.201873169946465,1,4,38,26,8168.977343720978,0
20,31884.23206289136,6,4.851859134886663,0,2,57,32,2886.4734258460867,0
2,39703.82219470887,2,5.914384432179802,1,2,33,28,11910.674966281164,0
6,1000.0,3,7.384012916175249,0,4,42,33,9285.817753957408,0
22,79211.78692557104,4,8.284953569989227,1,3,23,27,9590.252364289208,0
11,58963.933409652855,4,3.3876057124726824,0,1,37,38,5295.354343123065,0
16,26796.32467899709,4,6.64307619469179,1,2,43,29,10014.700439631084,0
16,106962.04944065717,3,8.513345238274113,1,1,18,30,11561.77456195584,0
1,52610.49441177159,1,10.0,3,2,61,29,19523.329922693927,0
9,18915.692840744097,3,7.063737691107128,1,3,42,23,6258.732867275857,0
6,75702.12264411376,4,4.198828723891794,0,1,50,43,12741.275986836696,0
16,61941.44649527787,3,6.974285294820238,1,1,39,25,7826.797632193771,0
3,61837.39956452658,1,6.036767917290728,2,1,32,39,0.0,0
20,37227.33186045229,4,7.680240881055518,1,1,18,36,6510.466827967255,0
4,63514.87171334104,5,10.0,0,2,50,30,18901.304487064237,0
19,42147.25129336717,2,4.655309787794092,0,1,57,31,6332.160057120527,0
3,66678.24354937527,5,9.193796738480223,1,1,41,27,10818.402300184647,0
19,1000.0,1,8.806194907161625,0,5,20,29,20711.14354560551,0
20,36983.79611062433,4,8.3087926061594,2,3,56,28,15097.5293377689,0
7,101664.65293424584,4,7.523677934529462,0,3,57,27,11338.744317986097,0
20,26987.976337990985,4,10.0,2,0,44,26,10489.634200492535,0
9,31884.8510752044,4,9.580508766493724,1,2,49,26,16937.75616650778,0
1,36561.15984650075,3,5.83216015526426,0,1,61,33,9656.131856382452,0
8,13555.8159233407,2,7.098291622846952,1,2,49,24,13755.450937961345,0
7,1000.0,4,4.829593622801068,0,0,52,25,5691.975151689739,0
18,43082.40804429162,2,9.7751576344786,0,5,64,31,7589.205337803231,0
8,54075.78272244971,4,7.094435869833115,0,3,45,40,13515.72768722651,0
1,48424.84794384043,4,3.150703417642223,1,1,23,29,4524.063997619846,0
11,45653.64314156339,4,2.2874808575098986,0,4,74,21,4797.72864384579,0
18,51291.22612551163,3,5.883734281930699,1,3,59,30,11082.301920141528,0
23,80685.24414652292,4,5.315156563864111,1,2,57,32,3970.016747779742,0
10,44286.61442212349,2,6.113694829442709,0,2,33,38,9617.948092725095,0
3,32777.52268738191,3,6.58611971067322,1,1,43,34,2729.323476935462,0
7,41566.23545335741,2,9.592673942267345,2,0,19,24,7304.294952707465,0
16,67380.40279270327,5,9.849574298101848,0,2,34,30,15645.258621984576,0
16,92360.80635629749,4,10.0,1,0,35,18,9823.636123344697,0
20,31155.68782492465,5,10.0,0,2,33,30,3455.454629407968,0
17,52968.01361086651,5,8.259140873834895,2,1,18,23,9977.799895540667,0
2,60150.72325807879,5,4.196645947002383,0,0,19,29,14228.180455400356,0
1,20222.65979813531,5,8.60418141027624,0,3,50,32,11926.108063584888,0
16,50612.51501638754,2,3.844534161902414,2,4,45,26,14937.47165038048,0
12,6029.784279737149,1,7.663359678192327,0,3,58,34,9733.121076749369,0
5,1000.0,1,4.023585862959859,2,0,26,26,8043.589213248838,0
5,61002.39223676771,5,10.0,1,1,46,33,11381.54567628134,0
23,38483.757760076514,4,7.768365558557025,2,1,39,37,13261.881151691849,0
9,56068.412228636575,1,6.587955997785761,2,1,40,32,9134.583926989855,0
9,49463.1506897495,2,6.097573113436043,0,2,29,27,13292.178207124996,0
3,20707.99854008608,3,6.929403760510747,1,3,18,31,9456.901279117275,0
19,48642.37094106991,2,5.545764779140229,0,0,41,27,5355.31782112249,0
16,13006.960849554343,2,6.343761702434452,0,0,26,37,9106.220976166893,0
16,91729.17074004204,7,2.9916844169658834,0,1,26,29,11142.494318697702,0
3,9320.889654201084,2,5.158261812869998,2,2,34,29,9811.60331406579,0
20,44126.44187094256,3,4.675393405035283,0,2,49,35,5645.836206909336,0
22,18731.85235858255,1,8.041968864979083,0,5,18,22,7990.485144783585,0
1,67112.63520082386,2,7.06694780068556,0,1,37,34,4865.035228220606,0
20,40057.05886155491,2,8.733212523228012,0,0,18,33,10830.062921034403,0
11,34439.9984113637,3,6.15824347723388,3,6,53,22,13773.871878084512,1
17,75596.04635154663,2,7.226183915929187,1,2,63,31,11716.660682359445,0
8,50882.91775032657,1,2.933211599190024,2,1,51,40,2158.7739520012765,1
4,65499.33337807902,2,8.821846912521744,1,0,55,43,10678.027000275986,0
6,20560.221904476057,4,9.533225703433814,1,2,74,26,5130.670899414373,1
8,7855.49168217479,2,8.30182365663018,1,2,18,20,2351.41030508638,0
20,53216.23886120401,2,5.238931949173285,2,6,43,32,19571.471179310203,0
3,40434.609335158064,4,8.107802527907829,1,2,38,31,12385.9127802788,0
16,68793.04017361833,4,7.350976574399156,0,0,46,18,4739.055090253957,0
3,47602.74642012351,2,3.079432734303481,0,2,31,26,10713.647039984757,0
18,56152.260177038894,1,9.482379175699482,0,1,44,37,11426.063304658384,0
14,1298.5241017626977,5,4.865149265093632,1,3,49,25,7657.038641165536,0
18,106653.1081884277,3,8.150194670404897,0,3,47,43,11656.042683824902,0
2,45072.74044903905,2,7.056824546443711,0,2,18,27,11845.756327111663,0
22,70927.60911017597,4,9.6952455041653,0,1,53,24,2473.865022632782,0
3,24917.249893411205,2,5.272642292746316,0,3,30,31,0.0,0
16,59240.29706652023,2,5.988773501490824,0,1,32,25,4888.941415319237,0
9,10914.657094257644,5,8.378394918945895,0,2,31,32,6513.179732545059,0
4,63562.03514779013,5,5.805084003868805,0,4,49,27,12828.010717020272,0
1,39320.77746842502,2,9.84635065050125,1,1,18,39,15982.773993565712,0
4,50875.71511806703,3,5.485530354361147,1,1,58,39,12145.432880159526,0
1,70939.22090390293,5,8.176594255319603,1,1,73,24,6162.538807368865,0
14,13023.790663391592,3,6.991825802996114,0,4,38,31,8163.794907698386,0
21,29465.24808161609,3,5.685508161695728,1,1,22,33,3537.3641678205177,0
16,63719.72843260296,2,9.634953309743585,0,0,18,18,8910.005045912394,0
20,112946.6442364024,3,4.89400729163536,0,2,37,35,9706.3727737096,0
8,45857.529960155545,2,8.062803096483526,0,4,32,34,19540.982749153227,0
7,67734.08353771798,4,2.2874808575098986,0,2,52,32,7101.027756162539,0
3,46790.8559042456,5,7.645653536510349,1,0,56,28,13555.388248988667,0
17,108267.36784268898,4,9.444572068712928,2,0,19,27,11296.351913427514,0
1,1000.0,2,6.702392900387514,0,2,36,43,4011.024268483495,0
16,52838.63134008074,1,7.424529424010051,3,2,27,36,8985.000618890264,0
12,1233.6789931381718,2,10.0,1,2,43,26,5107.7512379069285,0
19,1000.0,5,9.114772670415832,2,3,18,27,17773.16832625799,0
22,58923.8615935345,2,2.548161516647869,0,2,18,28,12170.19830565929,0
23,54184.933884423765,3,5.911020798661308,0,3,32,31,4450.389974161637,0
22,41454.89186773396,1,6.4267189491596834,1,6,49,28,14490.7213876182,0
14,46814.17729880741,6,7.6247145146038,1,4,29,31,15545.311423575276,0
6,120476.40845107357,3,6.872388601340938,1,2,54,28,16683.42123973821,0
6,42254.745859056966,2,5.952676816390742,0,1,22,32,12310.29744763922,0
13,65303.73083750225,4,5.821805776170844,0,2,37,26,10037.84538221608,0
19,30519.055411583573,5,4.121606600890969,0,1,28,21,11225.617068643403,0
22,58856.97725121809,2,4.982167723768766,0,0,56,37,10410.960023615866,0
8,42852.98974833147,2,8.681263211798786,2,2,62,36,12062.239004219748,0
2,37684.4455181081,5,4.9035450073134665,1,4,52,23,4919.090245457659,0
21,104566.95596600974,5,5.395470959521796,1,2,60,34,15245.053494746728,0
1,85315.54889553017,2,4.0840241951751945,0,2,37,39,8489.085062039918,0
15,54102.39942197692,3,7.768258298831903,1,1,26,34,14893.906135419164,0
1,1000.0,4,8.920228708465254,0,2,33,32,8161.708630609151,0
5,39169.723302422906,3,9.325951368721194,0,4,22,33,13233.180442133016,0
16,120476.40845107357,4,6.221466836504503,2,1,45,28,16872.661537691292,0
19,43080.15000080875,3,6.870802699420088,0,6,33,26,12223.58486371192,0
4,83096.52716160975,7,7.057532430246341,1,3,25,37,13267.641880228755,0
3,93258.27205857803,3,6.162886166397464,1,4,40,28,13211.830602554255,0
17,56568.91747567925,2,7.659624813371816,1,3,18,32,7357.859286137029,0
17,24745.35104395543,2,9.262927641594374,0,1,43,33,3984.545997827032,0
12,1000.0,1,8.991441458410195,0,2,18,41,18841.76924020347,0
14,70524.89625826864,1,6.664637470335745,1,2,40,37,10629.920594491963,0
21,25557.31991529356,3,5.930816462320834,1,3,43,32,15875.687505654623,0
6,55284.513556630765,2,4.695421216027761,0,1,23,29,15959.290491659838,0
3,12505.389812319074,4,3.5256003523563986,0,2,34,26,5317.936104006717,0
9,42042.873785893935,3,8.089188107184713,2,3,41,30,3739.2223232892375,0
5,51011.5716470316,2,6.998382534449135,1,4,23,32,11558.04884413968,0
17,58057.80743132894,2,7.016884401752246,1,2,49,27,8793.389778970366,0
14,16555.33437942757,3,10.0,1,2,64,43,5142.990664355226,0
21,85907.32846284057,5,10.0,0,0,39,24,0.0,0
3,32093.15645804086,3,7.086172780421651,1,2,55,25,12926.235539183534,0
1,1000.0,3,7.41734072587727,1,3,44,24,8336.950958159341,0
20,46729.29740109608,2,4.781643137746986,0,2,36,31,20142.584377278523,0
21,51031.2592707938,2,8.291191966167702,1,2,40,27,13171.823416254436,0
23,54817.68299515279,2,7.458050164993727,0,4,36,43,11440.334535437809,0
1,90863.97211055238,2,5.23472609108627,0,1,44,33,9789.773837810437,0
3,42906.53489792422,3,7.499163703744773,0,1,43,31,4557.572399462805,0
18,46411.41126893686,3,9.084567784556665,0,0,56,28,16706.75973358904,0
10,16904.468563007198,5,10.0,0,0,31,35,15267.505706976142,0
22,74616.6050866369,4,3.9745391261944953,0,1,31,23,11010.64963699682,0
3,55529.27192234311,5,4.711011986797709,1,2,54,37,0.0,0
8,37399.168181175126,6,6.80039708171934,0,2,40,25,14071.916155161583,0
14,1000.0,4,7.4605543556154865,0,3,38,39,0.0,0
18,93332.36585165263,3,10.0,1,0,18,31,3513.1491863558485,0
15,13169.601066318282,2,9.456810155210864,1,4,63,35,12375.956077491444,0
22,32261.65971890883,4,2.8526023956213877,1,1,32,32,7702.190925397565,0
23,60750.3353322801,3,6.154369984887342,0,1,44,29,14915.17578130472,0
2,14103.262141499406,1,3.962530327219653,0,3,32,25,7718.619739998907,0
10,5194.706652405694,5,4.389664071803162,0,1,50,34,7196.459267265075,0
2,1000.0,4,8.167332380383447,0,1,53,38,4544.702832017001,0
17,71629.90858716908,3,7.280115090027393,2,3,25,25,3087.1337136021384,0
8,33644.41265821034,1,10.0,1,0,63,42,15877.308349772937,0
1,120476.40845107357,2,4.184325567406809,1,3,18,37,14133.5860456317,0
9,20169.3480310738,7,6.949305496018222,0,5,38,31,9517.704479006068,0
11,22356.46929713236,2,5.918398790208119,0,4,24,28,4286.328486190959,0
22,33038.21089143796,4,10.0,1,5,49,27,6988.053167390539,0
16,57294.03965415467,3,5.204197984014303,0,5,64,27,2498.4775436216287,0
7,35893.89983644066,5,7.432689602675834,1,0,45,29,10289.04934687082,0
10,68369.96642007536,1,4.217484529053239,0,2,31,26,14077.177020810266,1
23,20642.348300340367,3,9.8954994250492,0,3,27,32,5990.432624381123,0
3,8552.24844609257,4,10.0,1,5,69,31,2822.570782858192,0
18,1000.0,2,5.605515836962403,1,1,27,32,8420.562481370374,0
13,1000.0,1,5.365364942598704,0,2,25,29,5353.676159365503,0
